"","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","totalRock","response.cor","fwd.error1","fwd.error2","forecast"
"2077",262,268,338,532,591,626,719,755,58,5,0.410716044537064,0.358820903230456,3.19767760083162
"2078",53,201,264,311,492,495,521,781,54,3,0.410760635945266,0.371345691391381,3.10904946686155
"2079",65,173,300,326,392,429,666,755,40,3,0.412409724478994,0.303641857224334,3.89210633486183
"2080",6,247,251,282,346,590,745,840,51,4,0.41269185129935,0.370527402732133,3.11824875814325
"2081",18,270,405,547,594,608,666,694,35,2,0.415013966318476,0.351656176145906,3.9477848266282
"2082",198,280,301,323,507,532,543,771,60,4,0.417400595414622,0.0762292963341165,3.59674388465211
"2083",77,93,259,360,659,706,760,833,40,4,0.417763213501153,0.325077258282123,3.95557127527594
"2084",152,191,319,360,375,391,461,615,36,4,0.418572732926123,0.297414078051731,3.89783964166487
"2085",81,425,429,440,497,651,753,824,50,3,0.418825977685316,0.322409914317056,3.93618159827351
"2086",300,497,594,603,619,733,808,834,37,3,0.418938429608011,0.420356378595247,3.93537738937928
"2087",203,262,289,325,537,615,622,833,50,2,0.419211513868796,0.165212495598344,3.65089356128551
"2088",205,233,393,449,451,613,729,767,51,5,0.419467482176576,0.231550453924664,3.9450051414613
"2089",93,353,401,402,419,626,650,700,46,3,0.419524035077765,0.379344680331629,-17.30225998982
"2090",91,105,268,334,347,405,622,769,52,3,0.420910959749695,0.23054750853993,3.68189823979835
"2091",91,96,120,133,152,191,581,818,42,3,0.420915311979369,0.318230895445896,3.9080026122458
"2092",34,276,322,327,380,524,605,840,50,5,0.422671594312713,0.35282724359411,3.96313920527889
"2093",328,416,461,528,732,774,824,833,49,3,0.422835033029043,0.308132494999505,3.9282381377674
"2094",28,54,81,315,429,605,634,816,50,3,0.423157688874112,0.305863387173652,3.93422556074787
"2095",50,277,330,406,458,479,501,711,40,2,0.423699495390333,1.01560757452801,2.81293457927556
"2096",493,541,654,706,720,742,763,833,42,3,0.427290216726059,0.275784955821259,3.86472599801782
"2097",258,310,460,524,619,732,762,781,44,2,0.427774330923457,0.327994501435984,3.95532184732581
"2098",102,260,429,552,640,735,763,767,50,4,0.428108820939086,0.327396237774829,3.96549129226805
"2099",93,110,215,302,361,397,428,766,48,3,0.42879186293082,0.356816861237993,-16.4945177969873
"2100",60,291,414,501,582,792,833,851,38,5,0.429890938834477,0.501792462059555,4.06338027012201
"2101",93,129,263,369,429,490,578,731,43,4,0.430631992855321,0.357378764015811,-17.1605924670865
"2102",6,373,459,567,619,656,699,843,45,3,0.430676529467679,0.325487500524674,3.88518465144774
"2103",23,41,133,374,421,456,764,820,41,4,0.432164137285028,0.217977717534036,3.85107979224338
"2104",5,28,89,401,437,635,704,719,46,3,0.433089371379231,0.49606064976561,3.62450689772039
"2105",155,198,301,347,377,423,712,774,47,3,0.435520507338297,0.119442481360146,3.7849207538432
"2106",3,147,184,405,447,702,791,851,43,6,0.436815095462093,0.533348146325791,4.08353041193898
"2107",110,466,538,589,629,654,699,833,49,4,0.437367929396252,0.296325603072227,3.82118908975596
"2108",5,104,237,403,421,492,508,670,58,2,0.438123619221113,0.235864181085411,3.85940798809734
"2109",169,201,224,246,380,450,563,691,40,3,0.43817942873152,0.688458313000629,2.95367098747367
"2110",321,405,448,570,584,707,716,839,51,5,0.438291185070596,0.309559976616407,4.35959572694668
"2111",101,195,201,232,488,657,678,840,40,3,0.438888981991745,0.568869648220514,3.03223590676092
"2112",117,191,547,600,613,625,678,739,48,2,0.438935398634857,0.362701574815854,3.96677172065911
"2113",117,191,368,448,548,591,699,800,43,2,0.439840691591013,0.305868910830089,3.98908517680655
"2114",30,237,349,489,692,749,766,791,58,4,0.439866539353239,0.527293545617574,2.60031901729709
"2115",78,264,268,289,591,710,734,840,50,4,0.441170628982442,0.379332051422051,3.08415833964429
"2116",115,119,496,514,593,637,796,833,52,5,0.44143374427167,0.27839925960277,3.88302751079266
"2117",95,105,119,247,361,705,833,842,46,3,0.441687301776133,0.311635065956602,3.91620983935231
"2118",46,191,217,287,305,496,508,591,41,4,0.441936245329773,0.370903557583634,3.89612786306964
"2119",48,145,428,589,710,778,780,840,44,4,0.443085787749169,0.459112328616183,3.0334285414024
"2120",188,276,447,477,583,673,757,833,42,4,0.443419856567187,0.23475438703627,3.88665905107025
"2121",88,282,394,487,531,809,839,840,46,5,0.445498435295018,0.390452884571503,3.09912039545866
"2122",61,115,244,316,329,477,609,641,58,4,0.446187796594997,0.521272475938934,3.25670943511568
"2123",34,201,227,456,478,649,743,787,59,4,0.44671121408706,0.610924593073511,3.14479283039408
"2124",292,389,428,435,579,619,631,801,42,2,0.447020754183839,0.321714265013782,3.91685517625426
"2125",14,125,294,384,634,705,833,851,49,4,0.447117673379577,0.561480341521114,4.09260158982304
"2126",148,167,373,405,455,480,499,552,49,3,0.448777735954252,0.464464276118745,4.17731282393294
"2127",86,301,455,581,696,813,846,855,59,4,0.451433818675963,0.551098270329605,3.14984270767398
"2128",133,180,333,376,393,671,774,833,40,4,0.452214222120855,0.337465113399423,3.90281164792923
"2129",122,123,178,191,419,421,766,770,52,2,0.452901227860904,0.602442513921326,4.32661526814956
"2130",101,156,195,256,276,349,421,458,52,5,0.453056653862742,0.145221956491414,3.90391434598714
